name,manufacturer,location,short_description,class,sys_updated_on,asset,tag,assigned,assigned_to,attested,can_print,category,assignment_group,company,cost,cost_center,cost_cc,sys_created_on,sys_created_by,dns_domain,department,discovery_source,sys_domain,sys_domain_path,fault_count,first_discovered,install_status,install_date,invoice_number,model_id,model_number,monitor,last_discovered,operational_status,po_number,product_instance_id,purchase_date,unverified,serial_number,skip_sync,subcategory,sys_class_path,sys_updated_by,sys_mod_count,vendor,warranty_expiration
*DAVIN-IBM,Lenovo,"Paradise Road, Richmond, London",,Computer,2024-05-16 12:38:06,P1000239 - Lenovo ThinkStation S20,P1000239,2018-11-30 14:43:27,Davin Czukowski,FALSE,FALSE,Hardware,,ACME UK,"3,665",Sales,USD,2012-02-07 8:28:39,admin,,Sales,,global,/,0,,Installed,2018-09-05 15:43:27,INV0166221,Lenovo ThinkStation S20,,FALSE,,Operational,PO27711,,2018-07-27,FALSE,L3BB911,FALSE,Computer,/!!/!2/!(,system,7,Lenovo,2019-07-27
*DENNIS-IBM,Lenovo,"650 Dennery Road #102, San Diego,CA",,Computer,2024-05-16 12:38:09,P1000229 - Lenovo ThinkStation S20,P1000229,2018-11-19 14:43:27,Dennis Millar,FALSE,FALSE,Do not migrate to asset,,ACME North America,"3,665",Sales,USD,2011-08-16 20:20:16,admin,,Sales,,global,/,0,2007-03-13 13:55:20,Installed,2018-09-05 15:43:27,INV0166221,Lenovo ThinkStation S20,,FALSE,2007-04-12 16:17:45,Operational,PO27711,,2018-07-27,FALSE,L3BB911,FALSE,,/!!/!2/!(,system,14,Lenovo,2019-07-27
*DUDE-IBM,Lenovo,"1635 Old 41 Highway Northwest #112, Kennesaw,GA",,Computer,2024-05-16 12:41:22,P1000237 - Lenovo ThinkStation S20,P1000237,2023-09-13 0:00:00,Dude Lewbowskie,FALSE,FALSE,Hardware,,ACME North America,"3,665",Sales,USD,2012-02-07 8:26:32,admin,,Sales,,global,/,0,,Installed,2023-08-01 1:00:00,INV0166221,Lenovo ThinkStation S20,,FALSE,,Operational,PO27711,,2018-07-27,FALSE,L3BB911,FALSE,Computer,/!!/!2/!(,system,8,Lenovo,2019-07-27
*JEMPLOYEE-IBM,IBM,"3121 High Point Road, Greensboro,NC",,Computer,2024-05-16 12:38:07,P22371 - Lenovo ThinkStation S20,P22371,2024-01-16 23:00:00,Joe Employee,FALSE,FALSE,Hardware,,ACME North America,"3,665",Sales,USD,2006-09-12 13:55:20,employee,,Sales,,global,/,,2006-09-12 13:55:20,Installed,2023-07-26 1:00:00,INV0166221,Lenovo ThinkStation S20,,FALSE,2006-10-12 16:17:45,Operational,PO27711,,2018-01-26,FALSE,L3BB911,FALSE,Computer,/!!/!2/!(,system,12,Lenovo,2019-01-26
*JON-IBM,Lenovo,,,Computer,2018-12-12 0:49:32,,P1000002,,,FALSE,FALSE,Hardware,,ACME North America,,,USD,2018-08-29 12:01:08,admin,,,,global,/,0,,Installed,,,Lenovo ThinkStation S20,,FALSE,,Operational,,,,FALSE,L1000002,FALSE,Computer,/!!/!2/!(,admin,3,,
*MACBOOK-AIR-13,Apple,,,Computer,2018-12-12 0:52:17,,P1000001,,,FALSE,FALSE,Hardware,,ACME North America,,,USD,2018-08-29 11:57:01,admin,,,,global,/,0,,Installed,,,"Apple MacBook Air 13""",,FALSE,,Operational,,,,FALSE,OCI-898-H51219-RD,FALSE,Computer,/!!/!2/!(,admin,5,,
*RON-IBM,Lenovo,"13308 Midland Road, Poway,CA",,Computer,2024-05-16 12:38:02,P1000238 - Lenovo ThinkStation S20,P1000238,2023-11-12 23:00:00,Ron Kettering,FALSE,FALSE,Hardware,,ACME North America,"3,665",IT,USD,2012-02-07 8:27:07,admin,,IT,,global,/,0,,Installed,2023-07-28 1:00:00,INV0166221,Lenovo ThinkStation S20,,FALSE,,Operational,PO27711,,2018-07-27,FALSE,L3BB911,FALSE,Computer,/!!/!2/!(,system,9,Lenovo,2019-07-27
*SONIC-IBM,Lenovo,,,Computer,2018-12-12 0:46:38,,P1000003,,,FALSE,FALSE,Hardware,,ACME North America,,,USD,2018-08-29 12:02:41,admin,,,,global,/,0,,Installed,,,Lenovo ThinkStation S20,,FALSE,,Operational,,,,FALSE,L1000003,FALSE,Computer,/!!/!2/!(,admin,1,,
*WAYNE-IBM,Lenovo,"243 South Escondido Boulevard, Escondido,CA",,Computer,2024-05-16 12:41:18,P1000236 - Lenovo ThinkStation S20,P1000236,2023-09-20 0:00:00,Wayne Webb,FALSE,FALSE,Hardware,,ACME North America,"3,665",IT,USD,2012-02-07 8:25:54,admin,,IT,,global,/,0,,Installed,2023-07-27 1:00:00,INV0166221,Lenovo ThinkStation S20,,FALSE,,Operational,PO27711,,2018-07-27,FALSE,L3BB911,FALSE,Computer,/!!/!2/!(,system,9,Lenovo,2019-07-27
.NET Framework,Microsoft,,,Software,2024-05-16 12:43:25,,,,,FALSE,FALSE,,,,,,,2005-05-23 18:14:22,guest,,,,global,/,0,,Installed,,,,,FALSE,,Operational,,,,FALSE,,FALSE,,"/!!/#,",system,14,,
.NET SDK,Microsoft,,,Software,2024-05-16 12:43:25,,,,,FALSE,FALSE,,,,,,,2005-05-23 18:14:22,guest,,,,global,/,0,,Installed,,,,,FALSE,,Operational,,,,FALSE,,FALSE,,"/!!/#,",system,14,,
382735F5AD9E492,Sony,"322 West 52nd Street, New York,NY",,Computer,2024-05-16 12:38:03,P1000147 - Sony VAIO VPCSA3AGX,P1000147,2023-03-19 0:00:00,Phil Hendrie,FALSE,FALSE,Do not migrate to asset,,ACME North America,"1,014.12",Sales,USD,2006-02-07 14:51:35,abenesch,,Sales,,global,/,,,,2022-10-12 0:00:00,,Sony VAIO VPCSA3AGX,,FALSE,,,,,,FALSE,28398596-3000301,FALSE,,/!!/!2/!(,system,16,Sony,
3Com DMI Agent,,,,Software,2024-05-16 12:43:34,,,,,FALSE,FALSE,,,,,,,2006-02-07 15:20:18,klintk,,,,global,/,0,,Installed,,,,,FALSE,,Operational,,,,FALSE,,FALSE,,"/!!/#,",system,4,,
3Com NIC Diagnostics,,,,Software,2024-05-16 12:43:34,,,,,FALSE,FALSE,,,,,,,2006-02-07 15:20:18,klintk,,,,global,/,0,,Installed,,,,,FALSE,,Operational,,,,FALSE,,FALSE,,"/!!/#,",system,5,,
3D Groove Playback Engine,,,,Software,2024-05-16 12:43:31,,,,,FALSE,FALSE,,,,,,,2006-02-07 15:04:07,system,,,,global,/,0,,Installed,,,,,FALSE,,Operational,,,,FALSE,,FALSE,,"/!!/#,",system,3,,
3D Pinball,Cinematronics,,,Software,2024-05-16 12:43:24,,,,,FALSE,FALSE,,,,,,,2005-05-23 18:14:22,guest,,,,global,/,0,,Installed,,,,,FALSE,,Operational,,,,FALSE,,FALSE,,"/!!/#,",system,38,,
42U 3100 SP1 NetShelter Rack,,"248 Abbotsford Road, Brisbane",,Rack,2024-05-16 12:41:45,P1000131 - APC 42U 3100 SP1 NetShelter Rack,P1000131,2023-11-07 23:00:00,,FALSE,FALSE,General,,ACME Corporation,0,,USD,2012-03-05 16:18:43,admin,,,,global,/,0,,Installed,2023-07-02 1:00:00,,APC 42U 3100 SP1 NetShelter Rack,,FALSE,,Operational,,,,FALSE,,FALSE,Rack,/!!/!|,system,2,Cloudward Inc,
42U 3100 SP1 NetShelter Rack,,"150 Kennedy Road, Hong Kong",,Rack,2024-05-16 12:41:33,P1000138 - APC 42U 3100 SP1 NetShelter Rack,P1000138,2023-08-19 1:00:00,,FALSE,FALSE,General,,ACME Corporation,0,,USD,2012-03-05 16:18:43,admin,,,,global,/,0,,Installed,2023-03-23 0:00:00,,APC 42U 3100 SP1 NetShelter Rack,,FALSE,,Operational,,,,FALSE,,FALSE,Rack,/!!/!|,system,2,Cloudward Inc,
42U 3100 SP2 NetShelter Rack,,"3 Whitehall Court, London",,Rack,2024-05-16 12:38:10,P1000142 - APC 42U 3100 SP2 NetShelter Rack,P1000142,2023-08-15 1:00:00,,FALSE,FALSE,General,,ACME Corporation,0,,USD,2012-03-05 16:18:43,admin,,,,global,/,0,,Installed,2023-03-03 23:00:00,,APC 42U 3100 SP2 NetShelter Rack,,FALSE,,Operational,,,,FALSE,,FALSE,Rack,/!!/!|,system,2,Cloudward Inc,
42U 3100 SP2 NetShelter Rack,,"Karmelitska 2, Lesser Town, Prague",,Rack,2024-05-16 12:40:57,P1000206 - APC 42U 3100 SP2 NetShelter Rack,P1000206,2023-07-08 1:00:00,,FALSE,FALSE,General,,ACME Corporation,0,,USD,2012-03-05 16:18:43,admin,,,,global,/,0,,Installed,2023-04-20 0:00:00,,APC 42U 3100 SP2 NetShelter Rack,,FALSE,,Operational,,,,FALSE,,FALSE,Rack,/!!/!|,system,2,Cloudward Inc,
4300-071302,Dell Inc.,"808 N Route 59, Aurora,IL",,Computer,2024-05-16 12:41:38,P1000047 - Dell Inc. Vostro 260,P1000047,2023-04-04 0:00:00,Olga Yarovenko,FALSE,FALSE,Hardware,,ACME North America,499.99,Sales,USD,2006-07-05 15:52:05,system,,Sales,,global,/,,,In Stock,2022-10-07 0:00:00,,Dell Inc. Vostro 260,,FALSE,,Operational,,,2017-04-26,FALSE,BRKN011,FALSE,Computer,/!!/!2/!(,system,10,Dell Inc.,
4300S-020220,Dell Inc.,"945 South Birch Street, Glendale,CO",,Computer,2024-05-16 12:38:22,P1000154 - Dell Inc. Vostro 260,P1000154,2023-09-19 0:00:00,Charlie Whitherspoon,FALSE,FALSE,Hardware,,ACME North America,499.99,Sales,USD,2006-02-07 14:53:45,CHARLIEN,,Sales,,global,/,,,Installed,2023-05-10 1:00:00,,Dell Inc. Vostro 260,,FALSE,,,,,,FALSE,GP9Q211,FALSE,Computer,/!!/!2/!(,system,9,Dell Inc.,
4400-030218,Dell Inc.,"1454 Northwest 78th Avenue, Doral,FL",,Computer,2024-05-16 12:41:37,P1000043 - Dell Inc. OptiPlex 390MT,P1000043,2023-08-28 1:00:00,George Grey,FALSE,FALSE,Hardware,,ACME North America,619.99,Sales,USD,2006-02-07 14:54:56,dpenn,,Sales,,global,/,,,Installed,2023-07-13 1:00:00,,Dell Inc. OptiPlex 390MT,,FALSE,,,,,,FALSE,,FALSE,Computer,/!!/!2/!(,system,9,Dell Inc.,
4500S-021127,Dell Inc.,"4492 Camino De La Plaza, San Ysidro,CA",,Computer,2024-05-16 12:38:20,P1000148 - Gateway DX Series,P1000148,2023-09-29 0:00:00,Taylor Vreeland,FALSE,FALSE,Hardware,,ACME North America,559.99,IT,USD,2006-02-07 14:56:18,tvreeland,,IT,,global,/,,,Installed,2023-05-26 1:00:00,,Gateway DX Series,,FALSE,,,,,,FALSE,5J19W11,FALSE,Computer,/!!/!2/!(,system,9,Gateway,
4700-050517,Dell Inc.,"650 Dennery Road #102, San Diego,CA",,Computer,2024-05-16 12:37:59,P22837 - Gateway DX Series,P22837,2023-09-13 0:00:00,Alva Pennigton,FALSE,FALSE,Hardware,,ACME North America,899.99,Engineering,USD,2006-07-05 15:57:21,system,,Development,,global,/,,,In Stock,2023-07-06 1:00:00,,Gateway DX Series,,FALSE,,Operational,,,2017-12-15,FALSE,B476361,FALSE,Computer,/!!/!2/!(,system,9,Gateway,
7200,Hewlett-Packard,,,Software,2024-05-16 12:43:30,,,,,FALSE,FALSE,,,,,,,2006-02-07 14:58:39,system,,,,global,/,0,,Installed,,,,,FALSE,,Operational,,,,FALSE,,FALSE,,"/!!/#,",system,3,,
7200Trb,Hewlett-Packard,,,Software,2024-05-16 12:43:30,,,,,FALSE,FALSE,,,,,,,2006-02-07 14:58:39,system,,,,global,/,0,,Installed,,,,,FALSE,,Operational,,,,FALSE,,FALSE,,"/!!/#,",system,3,,
7200_Help,Hewlett-Packard,,,Software,2024-05-16 12:43:30,,,,,FALSE,FALSE,,,,,,,2006-02-07 14:57:47,system,,,,global,/,0,,Installed,,,,,FALSE,,Operational,,,,FALSE,,FALSE,,"/!!/#,",system,3,,
7300,Hewlett-Packard,,,Software,2024-05-16 12:43:32,,,,,FALSE,FALSE,,,,,,,2006-02-07 15:05:33,dianek,,,,global,/,0,,Installed,,,,,FALSE,,Operational,,,,FALSE,,FALSE,,"/!!/#,",system,4,,
7300Trb,Hewlett-Packard,,,Software,2024-05-16 12:43:31,,,,,FALSE,FALSE,,,,,,,2006-02-07 15:05:30,dianek,,,,global,/,0,,Installed,,,,,FALSE,,Operational,,,,FALSE,,FALSE,,"/!!/#,",system,4,,
7300_Help,Hewlett-Packard,,,Software,2024-05-16 12:43:32,,,,,FALSE,FALSE,,,,,,,2006-02-07 15:05:31,dianek,,,,global,/,0,,Installed,,,,,FALSE,,Operational,,,,FALSE,,FALSE,,"/!!/#,",system,4,,
8255xDel,Intel,,,Software,2024-05-16 12:43:25,,,,,FALSE,FALSE,,,,,,,2005-05-23 18:14:22,guest,,,,global,/,0,,Installed,,,,,FALSE,,Operational,,,,FALSE,,FALSE,,"/!!/#,",system,8,,
8400-053105,Gateway,"4492 Camino De La Plaza, San Ysidro,CA",,Computer,2024-05-16 12:41:06,P1000224 - Gateway DX Series,P1000224,2023-08-14 1:00:00,Ted Bozelle,FALSE,FALSE,Do not migrate to asset,,ACME North America,699.99,IT,USD,2006-02-07 14:57:36,BEVERLYS,,IT,,global,/,,,Installed,2023-04-30 1:00:00,,Gateway DX Series,,FALSE,,,,,,FALSE,FT1S171,FALSE,,/!!/!2/!(,system,19,Gateway,
@Backup Integration,SkyDesk,,,Software,2024-05-16 12:43:27,,,,,FALSE,FALSE,,,,,,,2005-05-23 18:14:59,guest,,,,global,/,0,,Installed,,,,,FALSE,,Operational,,,,FALSE,,FALSE,,"/!!/#,",system,3,,
Abacast Client,,,,Software,2024-05-16 12:43:30,,,,,FALSE,FALSE,,,,,,,2006-02-07 14:57:36,BEVERLYS,,,,global,/,0,,Installed,,,,,FALSE,,Operational,,,,FALSE,,FALSE,,"/!!/#,",system,3,,
ABBYY FineReader 5.0 Sprint Plus,,,,Software,2024-05-16 12:43:32,,,,,FALSE,FALSE,,,,,,,2006-02-07 15:07:38,dmiller,,,,global,/,0,,Installed,,,,,FALSE,,Operational,,,,FALSE,,FALSE,,"/!!/#,",system,3,,
AboutTime,,,,Software,2024-05-16 12:43:33,,,,,FALSE,FALSE,,,,,,,2006-02-07 15:12:59,klintk,,,,global,/,0,,Installed,,,,,FALSE,,Operational,,,,FALSE,,FALSE,,"/!!/#,",system,6,,
Access,Microsoft,,,Software,2024-05-16 12:43:25,,,,,FALSE,FALSE,,,,,,,2005-05-23 18:14:22,guest,,,,global,/,0,,Installed,,,,,FALSE,,Operational,,,,FALSE,,FALSE,,"/!!/#,",system,43,,
Access IBM,IBM,,,Software,2024-05-16 12:43:27,,,,,FALSE,FALSE,,,,,,,2006-02-07 14:27:57,don.goodliffe,,,,global,/,0,,Installed,,,,,FALSE,,Operational,,,,FALSE,,FALSE,,"/!!/#,",system,3,,
Access IBM,IBM,,,Software,2024-05-16 12:43:28,,,,,FALSE,FALSE,,,,,,,2006-02-07 14:31:40,david.loo,,,,global,/,0,,Installed,,,,,FALSE,,Operational,,,,FALSE,,FALSE,,"/!!/#,",system,3,,
Access IBM,IBM,,,Software,2024-05-16 12:43:36,,,,,FALSE,FALSE,,,,,,,2006-04-17 13:55:53,employee,,,,global,/,0,,Installed,,,,,FALSE,,Operational,,,,FALSE,,FALSE,,"/!!/#,",system,5,,
Access IBM Message Center,IBM,,,Software,2024-05-16 12:43:27,,,,,FALSE,FALSE,,,,,,,2006-02-07 14:27:58,don.goodliffe,,,,global,/,0,,Installed,,,,,FALSE,,Operational,,,,FALSE,,FALSE,,"/!!/#,",system,4,,
Access IBM Message Center,IBM,,,Software,2024-05-16 12:43:36,,,,,FALSE,FALSE,,,,,,,2006-04-17 13:55:54,employee,,,,global,/,0,,Installed,,,,,FALSE,,Operational,,,,FALSE,,FALSE,,"/!!/#,",system,5,,
Acrobat,Adobe Systems,,,Software,2024-05-16 12:43:26,,,,,FALSE,FALSE,,,,,,,2005-05-23 18:14:29,guest,,,,global,/,0,,Installed,,,,,FALSE,,Operational,,,,FALSE,,FALSE,,"/!!/#,",system,6,,
Acrobat Distiller,Adobe Systems,,,Software,2024-05-16 12:43:26,,,,,FALSE,FALSE,,,,,,,2005-05-23 18:14:29,guest,,,,global,/,0,,Installed,,,,,FALSE,,Operational,,,,FALSE,,FALSE,,"/!!/#,",system,9,,
Acrobat Reader,Adobe Systems,,,Software,2024-05-16 12:43:25,,,,,FALSE,FALSE,,,,,,,2005-05-23 18:14:22,guest,,,,global,/,0,,Installed,,,,,FALSE,,Operational,,,,FALSE,,FALSE,,"/!!/#,",system,54,,
Action Tracker,Information Research,,,Software,2024-05-16 12:43:25,,,,,FALSE,FALSE,,,,,,,2005-05-23 18:14:22,guest,,,,global,/,0,,Installed,,,,,FALSE,,Operational,,,,FALSE,,FALSE,,"/!!/#,",system,7,,
Active Update,Trend Micro,,,Software,2024-05-16 12:43:27,,,,,FALSE,FALSE,,,,,,,2005-05-23 18:15:02,guest,,,,global,/,0,,Installed,,,,,FALSE,,Operational,,,,FALSE,,FALSE,,"/!!/#,",system,3,,
ActivePerl 5.6.1 Build 638,,,,Software,2024-05-16 12:43:28,,,,,FALSE,FALSE,,,,,,,2006-02-07 14:36:08,don.goodliffe,,,,global,/,0,,Installed,,,,,FALSE,,Operational,,,,FALSE,,FALSE,,"/!!/#,",system,4,,
ActivePerl 5.8.7 Build 815,,,,Software,2024-05-16 12:43:35,,,,,FALSE,FALSE,,,,,,,2006-02-07 15:24:22,olga,,,,global,/,0,,Installed,,,,,FALSE,,Operational,,,,FALSE,,FALSE,,"/!!/#,",system,4,,
Ad-aware,LavaSoft,,,Software,2024-05-16 12:43:26,,,,,FALSE,FALSE,,,,,,,2005-05-23 18:14:27,guest,,,,global,/,0,,Installed,,,,,FALSE,,Operational,,,,FALSE,,FALSE,,"/!!/#,",system,10,,
Ad-Aware SE Personal,LavaSoft,,,Software,2024-05-16 12:43:28,,,,,FALSE,FALSE,,,,,,,2006-02-07 14:51:35,abenesch,,,,global,/,0,,Installed,,,,,FALSE,,Operational,,,,FALSE,,FALSE,,"/!!/#,",system,40,,
Ad-Aware SE Personal,LavaSoft,,,Software,2024-05-16 12:43:30,,,,,FALSE,FALSE,,,,,,,2006-02-07 14:59:56,system,,,,global,/,0,,Installed,,,,,FALSE,,Operational,,,,FALSE,,FALSE,,"/!!/#,",system,5,,
Add-ons,Visio,,,Software,2024-05-16 12:43:29,,,,,FALSE,FALSE,,,,,,,2006-02-07 14:56:29,dpenn,,,,global,/,0,,Installed,,,,,FALSE,,Operational,,,,FALSE,,FALSE,,"/!!/#,",system,3,,
Adobe Acrobat,Adobe Systems,,,Software,2024-05-16 12:43:28,,,,,FALSE,FALSE,,,,,,,2006-02-07 14:51:36,abenesch,,,,global,/,0,,Installed,,,,,FALSE,,Operational,,,,FALSE,,FALSE,,"/!!/#,",system,11,,
Adobe Acrobat,Adobe Systems,,,Software,2024-05-16 12:43:30,,,,,FALSE,FALSE,,,,,,,2006-02-07 14:58:46,ashafer,,,,global,/,0,,Installed,,,,,FALSE,,Operational,,,,FALSE,,FALSE,,"/!!/#,",system,6,,
Adobe Acrobat - Reader 6.0.2 Update,Adobe Systems,,,Software,2024-05-16 12:43:28,,,,,FALSE,FALSE,,,,,,,2006-02-07 14:52:33,abenesch,,,,global,/,0,,Installed,,,,,FALSE,,Operational,,,,FALSE,,FALSE,,"/!!/#,",system,11,,
Adobe Acrobat 5.0,Adobe Systems,,,Software,2024-05-16 12:43:29,,,,,FALSE,FALSE,,,,,,,2006-02-07 14:56:18,tvreeland,,,,global,/,0,,Installed,,,,,FALSE,,Operational,,,,FALSE,,FALSE,,"/!!/#,",system,3,,
Adobe Acrobat 6.0 Standard,Adobe Systems,,,Software,2024-05-16 12:43:32,,,,,FALSE,FALSE,,,,,,,2006-02-07 15:07:12,dmiller,,,,global,/,0,,Installed,,,,,FALSE,,Operational,,,,FALSE,,FALSE,,"/!!/#,",system,7,,
Adobe Acrobat 6.0.1 Standard,Adobe Systems,,,Software,2024-05-16 12:43:28,,,,,FALSE,FALSE,,,,,,,2006-02-07 14:52:33,abenesch,,,,global,/,0,,Installed,,,,,FALSE,,Operational,,,,FALSE,,FALSE,,"/!!/#,",system,6,,
Adobe Acrobat 7.0.1 and Reader 7.0.1 Update,Adobe Systems,,,Software,2024-05-16 12:43:32,,,,,FALSE,FALSE,,,,,,,2006-02-07 15:07:15,dkim,,,,global,/,0,,Installed,,,,,FALSE,,Operational,,,,FALSE,,FALSE,,"/!!/#,",system,3,,
Adobe Acrobat 7.0.2 and Reader 7.0.2 Update,Adobe Systems,,,Software,2024-05-16 12:43:32,,,,,FALSE,FALSE,,,,,,,2006-02-07 15:07:15,dkim,,,,global,/,0,,Installed,,,,,FALSE,,Operational,,,,FALSE,,FALSE,,"/!!/#,",system,3,,
Adobe Acrobat 7.0.3 and Reader 7.0.3 Update,Adobe Systems,,,Software,2024-05-16 12:43:32,,,,,FALSE,FALSE,,,,,,,2006-02-07 15:07:15,dkim,,,,global,/,0,,Installed,,,,,FALSE,,Operational,,,,FALSE,,FALSE,,"/!!/#,",system,3,,
Adobe Acrobat and Reader 6.0.3 Update,Adobe Systems,,,Software,2024-05-16 12:43:30,,,,,FALSE,FALSE,,,,,,,2006-02-07 15:00:28,BEVERLYS,,,,global,/,0,,Installed,,,,,FALSE,,Operational,,,,FALSE,,FALSE,,"/!!/#,",system,6,,
